"","Ereignis.ID","Datum","SchaSum.MIN","SchaSum.MEDIAN","SchaSum.MAX","wgs.p95","Datensatz"
"212",12518,"1998-01-04",0.2977579,0.4025541,0.6719932,98,"sim"
"213",12519,"1998-01-04",0.2977579,0.4025541,0.6719932,98,"sim"
"214",12520,"1998-01-04",0.0229021,0.0433407,0.0834934,91,"sim"
"215",12521,"1998-01-04",0.0229021,0.0433407,0.0834934,91,"sim"
"216",12522,"1998-01-04",0.1830844,0.262779,0.4931337,92,"sim"
"217",12523,"1998-01-04",0.1830844,0.262779,0.4931337,92,"sim"
"218",12524,"1998-01-04",0.2264653,0.3261473,0.6049687,98,"sim"
"219",12525,"1998-01-04",0.2012653,0.31091,0.5888704,96,"sim"
"220",12526,"1998-01-04",0.2327272,0.3390827,0.6887682,99,"sim"
"221",12527,"1998-01-04",0.1379839,0.2043129,0.3970786,94,"sim"
"222",12528,"1998-01-04",0.3726337,0.5074804,0.8304865,101,"sim"
"223",12529,"1998-01-04",0.1578746,0.2370228,0.4373992,95,"sim"
"224",12601,"1998-10-28",0.0028586,0.0087173,0.066386,94,"sim"
"225",12602,"1998-10-28",0.0085349,0.0169305,0.0661523,97,"sim"
"226",12603,"1998-10-28",0.0021401,0.0065161,0.0529707,92,"sim"
"227",12604,"1998-10-28",0.0091871,0.0188362,0.0680147,99,"sim"
"228",12605,"1998-10-28",0.0022428,0.0068707,0.0515158,93,"sim"
"229",12606,"1998-10-28",0.0255352,0.0586383,0.2649296,93,"sim"
"230",12607,"1998-10-28",0.0213524,0.0462123,0.3009859,91,"sim"
"231",12608,"1998-10-28",0.0382008,0.0748639,0.2970308,94,"sim"
"232",12609,"1998-10-28",0.0382008,0.0748639,0.2970308,94,"sim"
"233",12610,"1998-10-28",0.2092919,0.3186828,0.6426251,96,"sim"
"234",12611,"1998-10-28",0.002157,0.0072285,0.0962038,90,"sim"
"235",12618,"1998-10-28",0.171232,0.2646789,0.4755659,97,"sim"
"236",12619,"1998-10-28",0.1460821,0.2245779,0.3968424,95,"sim"
"237",12620,"1998-10-28",0.2242322,0.308326,0.5339,98,"sim"
"238",12621,"1998-10-28",0.0488167,0.0865704,0.2011504,93,"sim"
"239",12622,"1998-10-28",0.3352924,0.46869,0.7534432,100,"sim"
"240",12623,"1998-10-28",0.1104724,0.193705,0.3980452,94,"sim"
"241",12626,"1998-10-28",0.1104724,0.193705,0.3980452,94,"sim"
"242",12628,"1998-10-28",0.001968,0.0086553,0.0572347,92,"sim"
"243",13304,"2002-10-27",0.0017879,0.0063553,0.0428205,92,"sim"
"244",13306,"2002-10-27",0.0017879,0.0063553,0.0428205,92,"sim"
"245",13307,"2002-10-27",0.0017879,0.0063553,0.0428205,92,"sim"
"246",13308,"2002-10-27",0.0017879,0.0063553,0.0428205,92,"sim"
"247",13310,"2002-10-27",0.001873,0.0070242,0.1015935,90,"sim"
"248",13311,"2002-10-27",0.001873,0.0070242,0.1015935,90,"sim"
"249",13322,"2002-10-27",0.0073267,0.0280949,0.1142204,92,"sim"
"250",13601,"2007-01-18",0.0118499,0.0240536,0.0807082,99,"sim"
"251",13602,"2007-01-18",0.0185487,0.0334178,0.1007486,102,"sim"
"252",13603,"2007-01-18",0.0032294,0.0090778,0.0632823,97,"sim"
"253",13604,"2007-01-18",0.109389,0.1542616,0.3424492,104,"sim"
"254",13605,"2007-01-18",0.0069989,0.0173166,0.0729508,98,"sim"
"255",13606,"2007-01-18",0.0254971,0.0547701,0.3249473,95,"sim"
"256",13607,"2007-01-18",0.012895,0.0374946,0.2658728,93,"sim"
"257",13608,"2007-01-18",0.150329,0.2314873,0.5590491,96,"sim"
"258",13609,"2007-01-18",0.007701,0.0285678,0.2473569,91,"sim"
"259",13610,"2007-01-18",0.3761031,0.5279967,1.0433522,98,"sim"
"260",13611,"2007-01-18",0.0104026,0.0319467,0.2262864,92,"sim"
"261",13614,"2007-01-18",0.0104026,0.0319467,0.2262864,92,"sim"
"262",13616,"2007-01-18",0.000212,0.0038913,0.017466,91,"sim"
"263",13618,"2007-01-18",0.3774499,0.5125629,0.8458028,101,"sim"
"264",13619,"2007-01-18",0.3535553,0.4753152,0.7462981,99,"sim"
"265",13620,"2007-01-18",0.391649,0.5374534,0.8522456,102,"sim"
"266",13621,"2007-01-18",0.274275,0.3823687,0.5908325,97,"sim"
"267",13622,"2007-01-18",0.8663485,1.1974272,2.1295391,104,"sim"
"268",13623,"2007-01-18",0.3040939,0.4175105,0.6738902,98,"sim"
"269",13624,"2007-01-18",0.0163932,0.0425701,0.2044454,90,"sim"
"270",13626,"2007-01-18",0.0277678,0.0583434,0.2648538,92,"sim"
"271",13628,"2007-01-18",0.1672101,0.2564552,0.5121924,94,"sim"
"272",13801,"2008-03-02",0.0312873,0.0548461,0.1106009,97,"sim"
"273",13802,"2008-03-02",0.0876177,0.1273899,0.2044279,100,"sim"
"274",13803,"2008-03-02",0.0082662,0.0162545,0.0644231,95,"sim"
"275",13804,"2008-03-02",0.2519762,0.3364224,0.5555431,98,"sim"
"276",13805,"2008-03-02",0.018104,0.0316603,0.0882946,96,"sim"
"277",13806,"2008-03-02",0.1762824,0.2569899,0.6087856,94,"sim"
