latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-33.8393,150.0596,337.2,1.4,1.2,2019-12-29,0025,Terra,MODIS,81,6.03,301.4,45.9,D,0
-33.8401,150.0215,343.7,1.4,1.2,2019-12-29,0025,Terra,MODIS,90,6.03,303.3,62.6,D,0
-33.8418,150.0373,341.5,1.4,1.2,2019-12-29,0025,Terra,MODIS,79,6.03,302.3,56.2,D,0
-33.8434,150.0522,348.6,1.4,1.2,2019-12-29,0025,Terra,MODIS,92,6.03,303.2,78.2,D,0
-33.8556,150.065,339.1,1.4,1.2,2019-12-29,0025,Terra,MODIS,87,6.03,301.5,53.4,D,0
-33.8573,150.0811,342.1,1.4,1.2,2019-12-29,0025,Terra,MODIS,89,6.03,301.7,62.7,D,0
-33.8996,150.0733,344.8,1.4,1.2,2019-12-29,0025,Terra,MODIS,91,6.03,305.4,73.2,D,0
-33.9013,150.0891,335.3,1.4,1.2,2019-12-29,0025,Terra,MODIS,83,6.03,301.9,47.2,D,0
-33.0023,150.0059,344.7,1.4,1.2,2019-12-29,0025,Terra,MODIS,90,6.03,311.4,55.8,D,0
-34.2002,150.0287,325.7,1.4,1.2,2019-12-29,0025,Terra,MODIS,63,6.03,294.9,21.8,D,0
-34.2039,150.0201,331.1,1.4,1.2,2019-12-29,0025,Terra,MODIS,80,6.03,297.5,33,D,0
-34.2057,150.0368,321.3,1.4,1.2,2019-12-29,0025,Terra,MODIS,24,6.03,297.9,16.1,D,0
-34.2111,149.9873,350.3,1.4,1.2,2019-12-29,0025,Terra,MODIS,93,6.03,305.4,84.4,D,0
-34.2128,150.0032,368.3,1.4,1.2,2019-12-29,0025,Terra,MODIS,100,6.03,304.4,162.4,D,0
-34.2145,150.0186,365.4,1.4,1.2,2019-12-29,0025,Terra,MODIS,100,6.03,299.9,149.6,D,0
-34.2162,150.0348,327.6,1.4,1.2,2019-12-29,0025,Terra,MODIS,66,6.03,295.3,26.6,D,0
-34.2201,149.9708,350.9,1.4,1.2,2019-12-29,0025,Terra,MODIS,84,6.03,302.2,85,D,0
-34.2218,149.9862,347.9,1.4,1.2,2019-12-29,0025,Terra,MODIS,85,6.03,301.4,75.5,D,0
-34.2644,150.2807,322.5,1.5,1.2,2019-12-29,0025,Terra,MODIS,50,6.03,289.3,28.1,D,0
-34.2661,150.2968,323.7,1.5,1.2,2019-12-29,0025,Terra,MODIS,65,6.03,280.2,30.7,D,0
-34.2396,149.9529,368.6,1.4,1.2,2019-12-29,0025,Terra,MODIS,100,6.03,295.9,164.3,D,0
-34.2414,149.9685,418.6,1.4,1.2,2019-12-29,0025,Terra,MODIS,100,6.03,310.3,608,D,0
-34.2502,149.9508,367.8,1.4,1.2,2019-12-29,0025,Terra,MODIS,100,6.03,294.6,162,D,0
-34.2519,149.9663,428.1,1.4,1.2,2019-12-29,0025,Terra,MODIS,100,6.03,310.8,745.2,D,0
-34.2537,149.9824,331.4,1.4,1.2,2019-12-29,0025,Terra,MODIS,69,6.03,299.1,34.1,D,0
-34.8715,150.2124,335.5,1.5,1.2,2019-12-29,0025,Terra,MODIS,70,6.03,296.7,46.2,D,0
-34.8801,150.295,331.7,1.5,1.2,2019-12-29,0025,Terra,MODIS,52,6.03,293.8,44.1,D,0
-34.8789,150.1783,352.3,1.5,1.2,2019-12-29,0025,Terra,MODIS,93,6.03,301.2,95.9,D,0
-34.8881,150.1605,346.4,1.5,1.2,2019-12-29,0025,Terra,MODIS,65,6.03,301.1,77.2,D,0
-34.9383,150.219,364,1.5,1.2,2019-12-29,0025,Terra,MODIS,100,6.03,300.2,145.7,D,0
-34.9402,150.2118,350.1,1.5,1.2,2019-12-29,0025,Terra,MODIS,86,6.03,299.4,83.4,D,0
-34.9421,150.2297,345.2,1.5,1.2,2019-12-29,0025,Terra,MODIS,82,6.03,297.4,69.1,D,0
-34.9493,150.1932,343.9,1.5,1.2,2019-12-29,0025,Terra,MODIS,76,6.03,299.8,59.9,D,0
-34.9551,150.1432,334.1,1.5,1.2,2019-12-29,0025,Terra,MODIS,81,6.03,297.1,40.9,D,0
-34.9568,150.1591,350.3,1.5,1.2,2019-12-29,0025,Terra,MODIS,94,6.03,304,88.4,D,0
-34.9585,150.1752,403,1.5,1.2,2019-12-29,0025,Terra,MODIS,100,6.03,311.3,446.1,D,0
-34.9603,150.1928,413.8,1.5,1.2,2019-12-29,0025,Terra,MODIS,100,6.03,299,579.5,D,0
-34.9676,150.1576,367.9,1.5,1.2,2019-12-29,0025,Terra,MODIS,100,6.03,302.5,170.8,D,0
-34.9693,150.1738,351.4,1.5,1.2,2019-12-29,0025,Terra,MODIS,65,6.03,297,86.8,D,0
-34.9711,150.1902,344,1.5,1.2,2019-12-29,0025,Terra,MODIS,59,6.03,293.4,64,D,0
-34.9893,150.1542,349,1.5,1.2,2019-12-29,0025,Terra,MODIS,88,6.03,300.1,82.5,D,0
-34.991,150.1706,334.3,1.5,1.2,2019-12-29,0025,Terra,MODIS,45,6.03,287.3,34.4,D,0
-35.0058,150.1038,328.4,1.4,1.2,2019-12-29,0025,Terra,MODIS,62,6.03,300.7,27.9,D,0
-35.0075,150.1196,334.8,1.5,1.2,2019-12-29,0025,Terra,MODIS,69,6.03,300.8,42.2,D,0
-35.2474,150.0167,329.4,1.4,1.2,2019-12-29,0025,Terra,MODIS,82,6.03,304.9,26.8,D,0
-33.9101,150.0715,328.8,1.4,1.2,2019-12-29,0025,Terra,MODIS,76,6.03,299.8,32.6,D,0
-32.9885,149.9779,339.7,1.3,1.1,2019-12-29,0025,Terra,MODIS,86,6.03,311.1,40,D,0
-32.9816,149.9183,353.4,1.3,1.1,2019-12-29,0025,Terra,MODIS,96,6.03,311.8,81.7,D,0
-32.9908,150.1863,343.3,1.4,1.2,2019-12-29,0025,Terra,MODIS,89,6.03,311,52.6,D,0
-32.987,150.2484,326.7,1.4,1.2,2019-12-29,0025,Terra,MODIS,14,6.03,310,15,D,0
-32.8767,150.603,327.1,1.5,1.2,2019-12-29,0025,Terra,MODIS,66,6.03,306.7,24.9,D,0
-32.7652,150.0831,331.9,1.4,1.2,2019-12-29,0025,Terra,MODIS,53,6.03,312.9,22.3,D,0
-32.7214,150.1254,350.4,1.4,1.2,2019-12-29,0025,Terra,MODIS,94,6.03,309.7,76.5,D,0
-32.7196,150.11,347.7,1.4,1.2,2019-12-29,0025,Terra,MODIS,92,6.03,304.7,69,D,0
-32.7109,150.1272,375.8,1.4,1.2,2019-12-29,0025,Terra,MODIS,100,6.03,310,193,D,0
-32.7093,150.1123,375.8,1.4,1.2,2019-12-29,0025,Terra,MODIS,100,6.03,305,194.1,D,0
